room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Private room,150,1,0,,344
Private room,135,2,7,0.3,212
Entire home/apt,349,3,6,0.7,0
Private room,100,4,1,0.3,54
Private room,151,1,0,,185
Entire home/apt,219,2,36,3.5,312
Entire home/apt,179,4,7,0.5,27
Private room,200,1,0,,38
Private room,199,1,22,2.1,353
Private room,100,1,0,,113
Entire home/apt,224,2,113,4.5,272
Entire home/apt,200,1,0,,325
Entire home/apt,1550,2,16,1.7,359
Entire home/apt,148,1,0,,293
Entire home/apt,200,1,0,,126
Entire home/apt,250,3,46,1.6,306
Private room,105,1,4,0.9,151
Entire home/apt,400,4,144,2.5,350
Private room,131,2,81,3.3,256
Private room,90,1,0,,19
Entire home/apt,375,5,0,,357
Entire home/apt,320,3,6,0.3,5
Private room,300,3,12,1.1,361
Private room,110,1,3,2,241
Entire home/apt,240,2,2,1,43
Entire home/apt,179,30,109,2.4,219
Private room,141,1,4,0.6,223
Entire home/apt,190,1,64,2.7,296
Entire home/apt,375,3,33,1.4,212
Private room,96,8,0,,158
Entire home/apt,400,1,1,0.1,216
Entire home/apt,290,3,101,3.4,260
Private room,140,28,16,0.8,337
Private room,89,1,36,1.8,343
Entire home/apt,275,3,0,,184
Private room,95,1,3,0.4,213
Private room,230,1,18,1,309
Entire home/apt,695,4,1,1,293
Private room,110,1,3,0.2,365
Entire home/apt,350,2,2,1.4,153
Entire home/apt,295,30,77,1.6,258
Entire home/apt,250,2,4,3.5,52
Entire home/apt,380,3,26,0.6,338
Entire home/apt,140,3,63,2.9,135
Private room,141,1,1,0,181
Private room,145,2,33,1.3,358
Private room,100,1,25,1.8,342
Private room,100,1,0,,0
Entire home/apt,160,2,3,1.1,326
Entire home/apt,800,3,0,,350
Private room,115,3,75,1.9,149
Entire home/apt,160,5,6,0.3,143
Entire home/apt,200,2,22,1.2,112
Entire home/apt,179,3,14,0.4,14
Entire home/apt,225,1,1,1,345
Entire home/apt,270,3,15,3.4,319
Entire home/apt,168,1,1,1,7
Private room,65,1,0,,123
Entire home/apt,250,1,0,,11
Private room,150,2,26,3.8,277
Entire home/apt,200,7,0,,120
Private room,99,1,25,0.8,364
Private room,99,1,13,0.3,364
Private room,99,1,9,1.2,354
Entire home/apt,275,4,10,0.2,182
Entire home/apt,174,2,45,4.3,264
Private room,100,1,1,0.1,233
Shared room,49,2,19,6.1,38
Shared room,94,2,3,0.3,365
Private room,120,1,78,4.8,127
Private room,80,2,1,0.2,119
Entire home/apt,175,2,3,0.4,153
Entire home/apt,175,2,61,4.8,287
Entire home/apt,195,3,4,0.6,158
Private room,90,1,27,5.8,232
Entire home/apt,155,7,6,1.2,0
Entire home/apt,190,7,1,0.9,134
Private room,128,1,58,5.4,304
Entire home/apt,200,1,4,2.7,302
Entire home/apt,150,4,4,0.5,125
Private room,65,2,12,6.2,325
Entire home/apt,260,3,8,0.2,135
Private room,100,5,0,,244
Private room,100,2,2,0.3,218
Entire home/apt,140,3,25,1.5,16
Private room,80,1,0,,80
Entire home/apt,145,1,7,0.6,123
Private room,120,1,14,1.1,123
Entire home/apt,385,3,28,1.3,339
Entire home/apt,155,2,21,3.1,269
Entire home/apt,125,3,9,0.9,3
Private room,150,4,7,0.8,276
Private room,85,2,4,0.2,248
Entire home/apt,150,5,4,0.4,134
Private room,75,2,29,1.1,358
Entire home/apt,625,3,0,,261
Entire home/apt,390,2,19,0.9,336
Entire home/apt,175,2,67,3.4,347
Entire home/apt,650,3,5,2.4,287
Entire home/apt,220,1,7,2.4,241
Entire home/apt,145,1,4,0.2,120
Private room,120,1,0,,189
Entire home/apt,600,7,6,0.4,300
Entire home/apt,174,2,1,0.1,288
Entire home/apt,139,2,0,,123
Entire home/apt,199,5,34,1.7,318
Entire home/apt,200,1,4,0.5,321
Private room,120,2,9,4.2,272
Private room,125,1,4,1.1,3
Shared room,55,7,24,1.1,274
Private room,185,2,29,1.2,264
Entire home/apt,400,7,3,0.3,184
Private room,135,1,4,1.9,305
Entire home/apt,300,3,4,0.9,309
Private room,120,2,15,2.6,261
Private room,89,1,1,1,0
Private room,90,2,48,1,92
Private room,100,3,93,3,358
Entire home/apt,300,1,0,,124
Entire home/apt,260,3,3,0.3,87
Entire home/apt,270,3,67,2.7,244
Entire home/apt,160,2,6,0.4,124
Entire home/apt,250,1,3,0.9,178
Private room,300,2,10,1.2,361
Entire home/apt,130,2,16,0.8,221
Entire home/apt,400,3,15,0.8,27
Private room,95,2,7,2.4,188
Entire home/apt,179,2,26,2.4,277
Private room,95,1,0,,294
Entire home/apt,329,3,0,,187
Entire home/apt,140,3,25,0.8,246
Entire home/apt,150,3,11,2,0
Shared room,30,7,0,,261
Entire home/apt,425,2,26,2.6,230
Entire home/apt,139,3,21,4.2,27
Shared room,53,3,2,1.1,332
Entire home/apt,300,3,18,2.5,238
Entire home/apt,159,2,10,0.9,254
Entire home/apt,185,2,8,1,358
Entire home/apt,279,6,5,0.2,223
Private room,65,5,0,,133
Entire home/apt,180,3,32,0.4,241
Entire home/apt,195,2,1,0.1,155
